0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,1,1,1,1,1,1,1,1,1,1,0,
0,1,0,0,0,0,0,0,0,0,1,0,
0,1,0,0,0,0,0,0,0,0,1,0,
0,1,0,0,0,0,0,0,0,0,1,0,
0,1,0,0,0,0,0,0,0,0,1,0,
0,1,0,0,0,0,0,0,0,0,1,0,
0,1,1,1,1,0,0,1,1,1,1,0,
0,0,0,0,1,0,0,1,0,0,0,0,
0,0,0,0,1,0,0,1,0,0,0,0,
0,0,0,0,2,0,0,3,0,0,0,0,
11,4,10,4,
10,4,9,4,
9,4,8,4,
8,4,8,3,
8,3,8,2,
8,2,8,1,
8,1,7,1,
7,1,6,1,
6,1,5,1,
5,1,4,1,
4,1,3,1,
3,1,2,1,
2,1,2,2,
2,2,2,3,
2,3,2,4,
2,4,2,5,
2,5,2,6,
2,6,2,7,
2,7,2,8,
2,8,2,9,
2,9,2,10,
2,10,3,10,
3,10,4,10,
4,10,5,10,
5,10,6,10,
6,10,7,10,
7,10,8,10,
8,10,8,9,
8,9,8,8,
8,8,8,7,
8,7,9,7,
9,7,10,7,
10,7,11,7,
